...Mass Properties...
15 Num Comps
15 Total Num Meshes
35600 Total Num Tris

4.470566419281916e+02             Total Mass
1.868022255984330e+01 -6.362392677684093e-06 -1.320838099788682e-02       Center of Gravity
4.203385557795086e+03 3.564830681979574e+04 3.859012263687652e+04       Ixx, Iyy, Izz
-2.560215596683015e+00 1.316300404537315e+03 3.847398374494026e+00       Ixy, Ixz, Iyz
4.470566419281916e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
fuselage	3.584156747394397e+02	1.791729131476971e+01	-1.456899367665357e-05	5.366529689689189e-02	6.555804939932517e+02	2.953795044160906e+04	2.952037200757836e+04	-2.434840880985637e+00	4.106072922781277e+02	3.357439345548255e+00	3.584156747394397e+02
Wing	2.144956422414115e+01	1.967873927416603e+01	6.751456933850351e+00	-5.447135052955135e-01	4.118202451302894e+02	1.020021813088403e+02	5.021203519056348e+02	1.681049912771888e+02	1.817343989886279e+01	4.318329076102328e+01	2.144956422414115e+01
Wing	2.144913965645496e+01	1.967879292347555e+01	-6.751541316688137e+00	-5.447122699817188e-01	4.117134642738413e+02	1.019911422547530e+02	5.020182191233056e+02	-1.682068696167790e+02	1.818180425258726e+01	-4.290553051229467e+01	2.144913965645496e+01
engine	7.372044460335007e+00	1.491546905302576e+01	4.749999784338374e+00	-1.780271693816338e+00	5.595779163034218e+00	9.332639804146043e+00	1.026349145884948e+01	-1.091691913274085e-02	-4.047409658585137e-01	4.928863590271482e-02	7.372044460335007e+00
engine	7.371930758012613e+00	1.491545592619210e+01	-4.749997419495526e+00	-1.780284041308069e+00	5.606180457875489e+00	9.329538482224889e+00	1.027676711304388e+01	-1.194331913747688e-02	-4.041474005323742e-01	4.586805584948591e-02	7.371930758012613e+00
fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
PodGeom	1.208422859069815e-01	1.388555443712807e+01	4.750000000000001e+00	-1.739347826086957e+00	4.217931087355171e-03	3.082781488673998e-02	3.286858981757904e-02	-3.558988813426652e-04	-8.767810189733953e-05	-1.045879926297393e-05	1.208422859069815e-01
PodGeom	1.208422859069816e-01	1.388555443712806e+01	-4.749999999999995e+00	-1.739347826086956e+00	4.363389267457129e-03	3.080257066531530e-02	3.303929221910570e-02	-2.819807717354453e-04	-9.175582678974334e-05	2.318432023176268e-05	1.208422859069816e-01
base fuselage	1.230818774159997e+01	1.810132094515160e+01	9.763343196091645e-05	-1.734624626287103e+00	2.138588608971590e+01	9.947060112366674e+01	1.189216987756853e+02	-6.405157970323299e-04	4.766280309698827e-01	6.260119364413040e-02	1.230818774159997e+01
horizontal stabilizer	4.520848044477612e+00	3.635549410435452e+01	2.958593680123130e+00	1.547176080115693e+00	1.172265544245982e+01	6.329989447366637e+00	1.753045234233650e+01	5.855638121942115e+00	7.326297837640811e-01	1.451585686053113e+00	4.520848044477612e+00
horizontal stabilizer	4.520848044477625e+00	3.635549410435446e+01	-2.958593680123128e+00	1.547176080115690e+00	1.168819978925775e+01	6.325604326620239e+00	1.750038180988084e+01	-5.860891096774680e+00	7.323358814653554e-01	-1.393326155660523e+00	4.520848044477625e+00
vertical stabilizer	8.597690734524214e+00	3.455931774109454e+01	1.333581056697697e-16	3.832846359211167e+00	2.986195368689877e+01	6.107792014468392e+01	3.168991251441633e+01	1.207958773725020e-02	2.084095064490845e+01	-2.282428668172040e-03	8.597690734524214e+00
fixation	4.045598113865576e-01	1.628704433967168e+01	-4.835553680562771e+00	-8.600503859765429e-01	3.078419341703549e-02	1.968501510660197e-01	2.166705983673401e-01	-4.749775025650760e-03	-1.075240685320691e-02	7.725198109049465e-05	4.045598113865576e-01
fixation	4.044691415340274e-01	1.628708640229539e+01	4.835553985854374e+00	-8.600187563462907e-01	2.950029184132055e-02	1.968051446180717e-01	2.153566563732770e-01	2.499538370095378e-03	-1.080105560735713e-02	1.651814280661013e-03	4.044691415340274e-01
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	4.470566419281916e+02	1.868022255984330e+01	-6.362392677684093e-06	-1.320838099788682e-02	4.203385557795086e+03	3.564830681979574e+04	3.859012263687652e+04	-2.560215596683015e+00	1.316300404537315e+03	3.847398374494026e+00	4.470566419281916e+02

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
50 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
3.946222332323812e-01	5.826036175911388e-01	3.946222332323814e-01	-8.929119888348826e-17	-5.031823149207147e-01	8.898173030366245e-02	1.157701466502298e-01	1.244231550387918e-01	5.867018054439447e-04	1.867682031669755e-04	4.882077623765072e-04	5.826036175911388e-01
1.183866699697143e+00	2.520793972718089e+00	1.001457234146748e+00	9.198568621089409e-17	-5.101212023908060e-01	9.955239920997002e-01	1.116776385618828e+00	1.091071559445727e+00	-9.904125365614537e-03	-5.002413133530576e-03	2.407055911343352e-02	2.520793972718089e+00
1.973111166161906e+00	6.182002417572617e+00	1.576906310526573e+00	-1.355732886144381e-16	-3.840689801074788e-01	4.070855028828673e+00	4.792682832870556e+00	4.259682869236249e+00	-3.714635667890010e-02	2.996884767808265e-01	5.682733109070468e-02	6.182002417572617e+00
2.762355632626668e+00	1.136889484291677e+01	2.117750270681702e+00	1.750568704616622e-16	-2.915460007650030e-01	1.005378625474949e+01	1.287219163040493e+01	1.143643122060346e+01	-7.270759222268031e-02	9.716729006220584e-01	1.074479228493739e-01	1.136889484291677e+01
3.551600099091430e+00	1.782867763651187e+01	2.637270486314057e+00	5.016248015009173e-16	-2.258402847242506e-01	1.919312204746728e+01	2.729679946220596e+01	2.476545758202089e+01	-1.193773436898302e-01	2.034059485366189e+00	1.851570388333285e-01	1.782867763651187e+01
4.340844565556193e+00	2.531322777068548e+01	3.140978892009059e+00	1.609797060925922e-17	-1.778269887503271e-01	3.126125112813604e+01	5.019429447070016e+01	4.647640555640400e+01	-1.816083917970660e-01	3.481173186804617e+00	2.665918605511266e-01	2.531322777068548e+01
5.130089032020955e+00	3.359104702873508e+01	3.631153973758869e+00	-3.089752494952861e-16	-1.419956025706255e-01	4.586616013280477e+01	8.381607058664598e+01	7.896941408763685e+01	-2.543841751942362e-01	5.272725295385899e+00	3.500257178995433e-01	3.359104702873508e+01
